Latitude,Longitude,Rainfall_Norm,Elevation_Norm,Erosion_Norm,EQ_Freq_Norm,Mining Activity,Historical_Landslide_Norm,Base_Landslide_Risk
33.202394,72.994982,0.36308394989182413,0.5258419473157719,0.95,0.75,0,0.47,0.5454393769361104
18.95822,76.619452,0.7867086015474062,0.18606202067355784,0.97,1.0,1,0.093,0.687189554521563
26.524548,73.167007,0.7101062172244631,0.1193731243747916,0.9800000000000001,0.5,0,0.52,0.5244011791810741
35.743758,93.580065,0.6398741953577821,0.11903967989329776,0.36,0.0,0,0.755,0.33127648481810507
17.231187,68.270339,0.04916441856531069,0.7642547515838612,0.96,0.0,1,0.69,0.5261420549580998
15.376836,68.034872,0.25771477158399886,0.7692564188062687,0.32999999999999996,0.5,0,0.495,0.40877997665725346
36.264223,75.642153,0.9942150342334642,0.646215405135045,0.21000000000000002,1.0,1,0.152,0.684996839585375
35.005792,87.722536,0.6812926805381199,0.7032344114704902,0.32999999999999996,0.5,0,0.078,0.45977005242862795
15.507746,73.975214,0.8657304771316899,0.592864288096032,0.7,1.0,0,0.485,0.6735054769021289
18.455029,72.013668,0.43918551955625607,0.41780593531177057,0.7,0.0,0,0.02,0.33535756695141816
9.540876,82.445911,0.05936545669845172,0.5971990663554518,0.01,0.0,0,0.032,0.13948117744570332
31.338065,76.31334,0.5291429614394972,0.5465155051683894,0.32999999999999996,0.0,1,0.035,0.41108884139355223
36.990328,89.156091,0.3017775581612757,0.06335445148382794,0.61,0.5,1,0.691,0.4542152798370845
23.610265,80.083696,0.595844796424406,0.06135378459486496,0.18,0.5,1,0.04,0.37623195602507453
13.988127,88.156085,0.9216881683093388,0.2644214738246082,0.5599999999999999,0.0,1,0.544,0.5497063368422563
15.313141,70.707687,0.5605629601930252,0.9823274424808269,0.43,0.75,0,0.211,0.5562062285444217
15.977252,94.52562,0.9433389424575087,0.17505835278426143,0.6599999999999999,0.75,1,0.105,0.6258464061712293
10.158443,81.915755,0.46085187460491295,0.2557519173057686,0.73,0.75,0,0.919,0.516763352112382
11.326309,79.946652,0.8276574338702067,0.32544181393797933,0.77,1.0,1,0.083,0.6843027212551476
32.274129,74.347397,0.5905383868871142,0.4531510503501167,0.5700000000000001,0.75,1,0.102,0.574964806791802
18.672811,82.599427,0.4270791598778458,0.08336112037345782,0.3,0.25,1,0.989,0.419842014044153
34.620499,76.885507,0.3169132900629469,0.9343114371457152,0.32999999999999996,1.0,1,0.622,0.6442906099448797
34.480253,82.463039,0.43039789168157994,0.2867622540846949,0.71,0.25,1,0.02,0.4464519237373339
32.20758,74.953557,0.2791496389682773,0.24241413804601533,0.8400000000000001,1.0,0,0.431,0.4793702373512725
23.49563,84.007866,0.38150280011040194,0.5618539513171057,1.0,0.0,1,0.591,0.5668464902910216
15.73764,74.262476,0.6677617813866112,0.41147049016338777,0.45,1.0,0,0.678,0.5570345433793303
16.478679,89.939894,0.24187567331748538,0.006002000666888963,0.32999999999999996,0.75,1,0.191,0.3592693184627491
14.623603,88.493174,0.3618730913396904,0.4578192730910303,0.09,0.5,0,0.07,0.28203212745312867
25.275108,76.552522,0.5010261135892163,0.11703901300433478,0.74,0.25,0,0.634,0.397564330998171
34.17751,92.817111,0.3182421182901966,0.7285761920640214,0.71,1.0,1,0.998,0.7170757679853534
9.688116,69.638732,0.0013176990126160689,0.5801933977992664,0.9800000000000001,0.25,1,0.731,0.5229681043130072
19.024633,95.242922,0.2854265160216174,0.6332110703567856,0.5,0.5,1,0.973,0.5702988430767615
24.953838,95.310336,0.8031130639173057,0.7359119706568856,0.99,0.0,0,0.894,0.6353606601107037
21.662528,70.820856,0.21462913005155057,0.7329109703234411,0.62,0.25,0,0.971,0.4588394765775759
20.242369,72.14008,0.9528455175975143,0.13471157052350782,0.5599999999999999,0.75,1,0.231,0.6127536935040802
17.6768,87.765646,0.41446975969799765,0.3527842614204735,0.38,0.5,0,0.604,0.3855742922085941
9.629752,79.332694,0.05181762333395659,0.4621540513504501,0.32,0.25,0,0.935,0.3003852161035792
21.697735,81.990101,0.8769954681838014,0.3677892630876959,0.85,0.25,1,0.648,0.6651067196634894
18.80779,85.243789,0.6194654415627199,0.8982994331443814,0.29,0.5,1,0.006,0.5681262470195563
28.688146,68.080444,0.7229938477701507,0.7062354118039347,0.8,0.25,1,0.39,0.6584955443033247
13.472328,79.792785,0.6340625194761258,0.6888962987662555,0.5599999999999999,0.75,1,0.906,0.7113948896222825
31.096875,79.684903,0.8017530738890819,0.07702567522507503,0.62,0.25,1,0.175,0.49484340351728545
