Origin Time,Latitude,Longitude,Depth,Magnitude,Energy_Index,Depth_Factor
2020-11-02 18:57:44 IST,20.07,72.91,5.0,1.5,5.623413251903491,0.75
2021-02-05 06:53:11 IST,29.01,77.28,5.0,1.8,7.943282347242816,0.75
2020-11-22 03:40:53 IST,21.89,79.8,10.0,1.8,7.943282347242816,0.6000000000000001
2020-11-03 19:01:52 IST,20.03,72.92,10.0,1.8,7.943282347242816,0.6000000000000001
2020-06-30 03:14:09 IST,28.83,76.73,5.0,1.8,7.943282347242816,0.75
2020-06-20 01:52:15 IST,28.76,76.81,10.0,1.8,7.943282347242816,0.6000000000000001
2020-06-07 11:55:31 IST,28.7,76.7,5.0,1.8,7.943282347242816,0.75
2020-06-01 04:50:27 IST,28.7,76.7,5.0,1.8,7.943282347242816,0.75
2021-05-19 12:06:53 IST,28.72,77.03,5.0,1.9,8.912509381337454,0.75
2021-02-23 20:36:00 IST,28.72,77.0,10.0,1.9,8.912509381337454,0.6000000000000001
2021-01-26 01:21:05 IST,28.59,77.01,5.0,1.9,8.912509381337454,0.75
2021-01-22 02:04:47 IST,28.6,77.0,5.0,1.9,8.912509381337454,0.75
2020-09-22 05:49:44 IST,20.06,72.9,8.0,2.0,10.0,0.6521739130434783
2020-09-06 04:58:17 IST,19.99,72.88,5.0,2.0,10.0,0.75
2020-04-16 08:26:22 IST,28.7,77.1,10.0,2.0,10.0,0.6000000000000001
2020-04-07 11:46:01 IST,29.6,77.6,5.0,2.0,10.0,0.75
2020-03-29 05:05:03 IST,25.9,91.1,13.0,2.0,10.0,0.5357142857142857
2020-03-24 20:16:07 IST,28.6,77.0,6.0,2.0,10.0,0.7142857142857143
2020-02-18 12:48:32 IST,31.5,77.5,5.0,2.0,10.0,0.75
2019-12-06 23:08:56 IST,28.6,76.7,10.0,2.0,10.0,0.6000000000000001
2021-07-30 07:19:38 IST,27.09,89.97,10.0,2.1,11.220184543019636,0.6000000000000001
2021-07-21 02:06:28 IST,29.01,76.91,5.0,2.1,11.220184543019636,0.75
2021-06-20 12:02:01 IST,28.67,77.14,7.0,2.1,11.220184543019636,0.6818181818181818
2021-04-30 02:30:33 IST,27.31,89.12,5.0,2.1,11.220184543019636,0.75
2021-03-11 03:48:10 IST,27.38,88.76,15.0,2.1,11.220184543019636,0.5
2020-11-06 16:39:18 IST,28.78,76.78,5.0,2.1,11.220184543019636,0.75
2020-10-28 03:45:19 IST,34.95,76.15,10.0,2.1,11.220184543019636,0.6000000000000001
2020-10-21 19:26:03 IST,20.02,72.91,5.0,2.1,11.220184543019636,0.75
2020-10-09 02:28:59 IST,32.82,76.56,5.0,2.1,11.220184543019636,0.75
2020-09-22 04:12:21 IST,20.07,72.9,10.0,2.1,11.220184543019636,0.6000000000000001
2020-08-08 16:48:37 IST,28.16,77.24,5.0,2.1,11.220184543019636,0.75
2020-06-18 04:18:30 IST,28.81,76.73,5.0,2.1,11.220184543019636,0.75
2020-06-08 13:00:34 IST,28.85,76.76,19.0,2.1,11.220184543019636,0.4411764705882353
2020-05-10 04:04:54 IST,30.6,79.1,5.0,2.1,11.220184543019636,0.75
2020-02-08 02:34:32 IST,28.98,76.71,5.0,2.1,11.220184543019636,0.75
2019-11-28 22:43:55 IST,28.4,76.7,12.0,2.1,11.220184543019636,0.5555555555555556
2021-07-18 02:59:02 IST,28.75,76.6,10.0,2.2,12.589254117941675,0.6000000000000001
2021-04-25 05:23:39 IST,32.76,76.2,5.0,2.2,12.589254117941675,0.75
2021-04-03 02:40:00 IST,27.62,92.65,5.0,2.2,12.589254117941675,0.75
2021-02-25 02:33:02 IST,32.32,76.29,5.0,2.2,12.589254117941675,0.75
2021-02-18 03:50:48 IST,31.07,78.06,5.0,2.2,12.589254117941675,0.75
2020-11-04 03:56:18 IST,20.06,72.92,10.0,2.2,12.589254117941675,0.6000000000000001
2020-10-23 04:32:27 IST,20.02,72.89,5.0,2.2,12.589254117941675,0.75
2020-10-11 16:00:18 IST,27.31,75.48,5.0,2.2,12.589254117941675,0.75
2020-09-11 05:04:36 IST,19.94,72.7,10.0,2.2,12.589254117941675,0.6000000000000001
2020-08-18 14:54:59 IST,20.14,72.96,5.0,2.2,12.589254117941675,0.75
2020-06-25 01:30:11 IST,28.98,76.72,7.0,2.2,12.589254117941675,0.6818181818181818
2020-05-16 03:44:42 IST,25.5,91.6,10.0,2.2,12.589254117941675,0.6000000000000001
2020-05-15 11:28:51 IST,28.7,77.2,22.0,2.2,12.589254117941675,0.4054054054054054
2020-04-09 01:54:47 IST,32.7,76.1,2.0,2.2,12.589254117941675,0.8823529411764706
2020-04-06 22:14:28 IST,20.2,72.9,5.0,2.2,12.589254117941675,0.75
2020-02-26 02:09:21 IST,31.8,77.3,5.0,2.2,12.589254117941675,0.75
2020-02-18 01:01:43 IST,34.4,76.1,8.0,2.2,12.589254117941675,0.6521739130434783
2020-01-22 23:19:56 IST,32.8,76.1,5.0,2.2,12.589254117941675,0.75
2019-11-18 04:17:22 IST,26.7,94.1,10.0,2.2,12.589254117941675,0.6000000000000001
2019-10-23 00:45:19 IST,32.0,77.0,14.0,2.2,12.589254117941675,0.5172413793103449
2021-07-21 01:18:07 IST,29.01,76.91,5.0,2.3,14.12537544622754,0.75
2021-06-26 00:36:34 IST,25.48,93.79,10.0,2.3,14.12537544622754,0.6000000000000001
2021-05-12 20:57:45 IST,25.59,92.43,20.0,2.3,14.12537544622754,0.4285714285714286
2021-04-29 15:37:47 IST,8.47,77.51,5.0,2.3,14.12537544622754,0.75
2021-04-29 01:41:49 IST,26.78,92.4,11.0,2.3,14.12537544622754,0.5769230769230769
2021-02-09 04:09:11 IST,26.99,92.54,5.0,2.3,14.12537544622754,0.75
2021-01-23 05:32:01 IST,26.42,93.41,5.0,2.3,14.12537544622754,0.75
2020-12-25 05:02:19 IST,28.7,77.04,5.0,2.3,14.12537544622754,0.75
2020-12-13 20:54:58 IST,24.45,73.26,5.0,2.3,14.12537544622754,0.75
2020-11-10 15:38:45 IST,20.12,72.978,5.0,2.3,14.12537544622754,0.75
2020-10-29 15:36:20 IST,32.02,76.22,6.0,2.3,14.12537544622754,0.7142857142857143
2020-10-22 10:26:58 IST,20.01,72.9,5.0,2.3,14.12537544622754,0.75
2020-10-20 22:14:25 IST,25.61,93.98,20.0,2.3,14.12537544622754,0.4285714285714286
2020-10-11 23:32:57 IST,19.93,72.82,5.0,2.3,14.12537544622754,0.75
2020-09-09 01:18:13 IST,20.08,72.85,5.0,2.3,14.12537544622754,0.75
2020-07-16 04:47:03 IST,31.69,76.21,10.0,2.3,14.12537544622754,0.6000000000000001
2020-06-28 14:49:34 IST,25.1,94.3,59.0,2.3,14.12537544622754,0.2027027027027027
2020-06-19 05:37:39 IST,28.84,76.75,5.0,2.3,14.12537544622754,0.75
2020-06-15 00:16:55 IST,33.1,75.8,5.0,2.3,14.12537544622754,0.75
2020-06-05 01:43:09 IST,25.6,91.4,10.0,2.3,14.12537544622754,0.6000000000000001
2020-05-22 02:03:54 IST,27.2,92.4,10.0,2.3,14.12537544622754,0.6000000000000001
2020-05-06 02:41:40 IST,28.4,77.4,10.0,2.3,14.12537544622754,0.6000000000000001
2020-05-03 07:46:55 IST,20.2,72.9,10.0,2.3,14.12537544622754,0.6000000000000001
2020-03-29 06:19:29 IST,32.75,76.14,3.0,2.3,14.12537544622754,0.8333333333333334
2020-03-09 17:18:40 IST,19.9,73.0,10.0,2.3,14.12537544622754,0.6000000000000001
2020-02-15 17:22:07 IST,28.6,76.6,9.0,2.3,14.12537544622754,0.625
2020-01-20 01:52:31 IST,27.2,92.3,5.0,2.3,14.12537544622754,0.75
2019-12-23 21:33:04 IST,20.0,72.7,10.0,2.3,14.12537544622754,0.6000000000000001
2019-11-13 00:51:54 IST,32.6,75.9,10.0,2.3,14.12537544622754,0.6000000000000001
2019-10-06 01:06:56 IST,32.6,76.5,11.0,2.3,14.12537544622754,0.5769230769230769
2021-07-30 23:04:57 IST,19.93,72.92,5.0,2.4,15.848931924611133,0.75
2021-07-24 09:55:40 IST,28.97,77.2,18.0,2.4,15.848931924611133,0.45454545454545453
2021-07-13 22:40:28 IST,29.12,77.4,5.0,2.4,15.848931924611133,0.75
2021-05-31 21:54:04 IST,28.72,77.13,8.0,2.4,15.848931924611133,0.6521739130434783
2021-05-10 03:49:00 IST,32.32,76.86,5.0,2.4,15.848931924611133,0.75
2021-05-10 02:01:56 IST,27.76,92.86,10.0,2.4,15.848931924611133,0.6000000000000001
2021-04-15 16:19:22 IST,28.81,76.79,10.0,2.4,15.848931924611133,0.6000000000000001
2021-04-05 02:01:55 IST,32.63,76.32,14.0,2.4,15.848931924611133,0.5172413793103449
2021-03-31 22:41:22 IST,28.82,76.72,10.0,2.4,15.848931924611133,0.6000000000000001
2021-03-25 16:36:15 IST,19.18,73.95,8.0,2.4,15.848931924611133,0.6521739130434783
2021-02-25 03:55:26 IST,32.85,76.22,5.0,2.4,15.848931924611133,0.75
2021-02-19 23:08:53 IST,24.1,93.58,5.0,2.4,15.848931924611133,0.75
2021-01-02 22:20:32 IST,20.095,72.928,5.0,2.4,15.848931924611133,0.75
2021-01-02 04:11:58 IST,30.59,79.28,5.0,2.4,15.848931924611133,0.75
2020-12-21 00:27:36 IST,32.69,76.42,5.0,2.4,15.848931924611133,0.75
2020-12-13 23:33:08 IST,31.98,77.35,10.0,2.4,15.848931924611133,0.6000000000000001
2020-11-22 03:12:11 IST,21.78,79.84,10.0,2.4,15.848931924611133,0.6000000000000001
2020-11-15 04:09:18 IST,19.92,72.88,5.0,2.4,15.848931924611133,0.75
2020-11-10 23:54:00 IST,31.61,78.54,5.0,2.4,15.848931924611133,0.75
2020-11-09 13:43:21 IST,20.23,72.95,5.0,2.4,15.848931924611133,0.75
2020-11-01 10:38:23 IST,26.043,71.498,10.0,2.4,15.848931924611133,0.6000000000000001
2020-10-29 15:53:04 IST,20.0,72.89,5.0,2.4,15.848931924611133,0.75
2020-10-25 17:44:52 IST,19.96,72.87,5.0,2.4,15.848931924611133,0.75
2020-10-14 23:06:39 IST,32.7,76.47,5.0,2.4,15.848931924611133,0.75
2020-10-09 02:31:29 IST,32.81,76.59,5.0,2.4,15.848931924611133,0.75
2020-10-07 16:24:18 IST,20.2,72.94,5.0,2.4,15.848931924611133,0.75
2020-09-29 04:25:54 IST,20.06,72.9,5.0,2.4,15.848931924611133,0.75
2020-09-29 01:38:15 IST,33.17,75.91,10.0,2.4,15.848931924611133,0.6000000000000001
2020-09-21 00:02:08 IST,20.12,72.98,5.0,2.4,15.848931924611133,0.75
2020-09-20 21:57:15 IST,20.05,72.93,10.0,2.4,15.848931924611133,0.6000000000000001
2020-09-04 21:05:44 IST,25.68,90.29,10.0,2.4,15.848931924611133,0.6000000000000001
2020-09-04 01:54:45 IST,24.5,94.49,32.0,2.4,15.848931924611133,0.3191489361702128
2020-06-30 05:46:06 IST,28.86,76.47,8.6,2.4,15.848931924611133,0.6355932203389831
2020-06-27 21:11:23 IST,28.92,76.58,5.0,2.4,15.848931924611133,0.75
2020-05-07 10:27:04 IST,32.8,76.2,10.0,2.4,15.848931924611133,0.6000000000000001
2020-04-27 19:01:24 IST,30.2,77.5,23.0,2.4,15.848931924611133,0.39473684210526316
2020-04-25 20:35:30 IST,32.5,76.4,5.0,2.4,15.848931924611133,0.75
2020-04-18 00:40:28 IST,29.9,79.8,5.0,2.4,15.848931924611133,0.75
2020-04-09 21:57:59 IST,28.6,77.6,15.0,2.4,15.848931924611133,0.5
2020-03-29 03:55:26 IST,32.8,76.0,5.0,2.4,15.848931924611133,0.75
2020-03-27 17:47:26 IST,32.74,76.17,3.0,2.4,15.848931924611133,0.8333333333333334
2020-03-26 01:13:07 IST,25.1,91.9,39.0,2.4,15.848931924611133,0.2777777777777778
2020-03-09 01:50:53 IST,29.9,79.9,5.0,2.4,15.848931924611133,0.75
2020-03-04 03:32:13 IST,25.9,90.8,0.8,2.4,15.848931924611133,0.949367088607595
2020-02-24 13:23:30 IST,28.9,76.7,6.0,2.4,15.848931924611133,0.7142857142857143
2020-02-01 12:45:36 IST,31.7,75.8,19.0,2.4,15.848931924611133,0.4411764705882353
2020-01-25 05:26:25 IST,25.0,93.8,30.0,2.4,15.848931924611133,0.3333333333333333
2019-11-14 23:19:39 IST,26.0,91.9,10.0,2.4,15.848931924611133,0.6000000000000001
2019-11-13 01:51:32 IST,32.6,75.8,10.0,2.4,15.848931924611133,0.6000000000000001
2019-10-04 15:22:17 IST,32.6,76.9,8.4,2.4,15.848931924611133,0.641025641025641
2021-07-31 09:43:23 IST,29.06,77.42,5.0,2.5,17.78279410038923,0.75
2021-06-06 06:21:52 IST,32.99,75.82,5.0,2.5,17.78279410038923,0.75
2021-05-16 20:12:19 IST,26.06,92.6,5.0,2.5,17.78279410038923,0.75
2021-05-08 13:54:56 IST,17.36,73.84,10.0,2.5,17.78279410038923,0.6000000000000001
2021-05-03 22:05:12 IST,26.09,90.41,33.0,2.5,17.78279410038923,0.3125
2021-04-16 06:05:56 IST,30.01,79.6,10.0,2.5,17.78279410038923,0.6000000000000001
2021-01-06 04:32:07 IST,26.95,92.93,8.0,2.5,17.78279410038923,0.6521739130434783
2021-01-04 00:13:07 IST,26.21,90.94,5.0,2.5,17.78279410038923,0.75
2020-12-24 19:51:07 IST,27.11,88.34,5.0,2.5,17.78279410038923,0.75
2020-12-11 19:59:53 IST,10.97,76.1,10.0,2.5,17.78279410038923,0.6000000000000001
2020-12-10 00:06:45 IST,26.703,95.313,10.0,2.5,17.78279410038923,0.6000000000000001
2020-11-16 21:00:47 IST,31.16,78.13,5.0,2.5,17.78279410038923,0.75
2020-11-12 08:36:22 IST,20.0,72.9,5.0,2.5,17.78279410038923,0.75
2020-11-04 03:54:53 IST,20.0,73.15,10.0,2.5,17.78279410038923,0.6000000000000001
2020-10-29 10:50:48 IST,31.93,76.25,5.0,2.5,17.78279410038923,0.75
2020-10-20 08:46:36 IST,20.02,72.92,5.0,2.5,17.78279410038923,0.75
